case_number,published_date,report_number,category,product,brand,name,model,production_dates,ec_type_approval,company_recall_code,risk_type,danger,risk_description,legal_provisions,measures,measures_economic_operators,description,notifying_country,country_of_origin,risk_level,reference_url,recall_website
SR/03583/25,,,Motor vehicles,Passenger car,CITROEN,C5 Aircross,e2*2007/46*0642*21 - e2*2007/46*0642*24,20/09/2023 – 30/04/2025 // VIN: VR7ACYHZSPL055173 - VR7ACYHZ6SL021964,,GL8,Environment,"Due to incorrect coding in the Built-in Systems Interface, the Stop&amp;Start function is inoperative, which may result in increased CO2 emissions. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 29/09/2025,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096245,
SR/03572/25,,,Motor vehicles,Passenger car,Volvo,EX90,e4*2018/858*00203,,,R10342,Injuries,"The tailgate lifting arms may separate when opening or closing the tailgate. The spring inside the arms can rapidly release from the mechanism and the tailgate could fall freely, which can lead to injury. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): DistributorCategory of measure(s): Recall of the product from end usersDate of entry into force: 02/10/2025,,Passenger car. Model Year: 2025. Chassis: from 0000298 to 0017079.,Portugal,Sweden,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096263,
OR/00152/25,,,Motor vehicles,Passenger car,Dacia,DUSTER,e19*2007/46*0026*22 à e19*2007/46*0026*26,13/03/2024-26/02/2025,,0EYA,Injuries,"The position sensor of the parking brake actuator is at the wrong angle, causing the stopping pin to be incorrectly placed in the ‘P lock’ position and resulting in the parking brake not properly engaging when the P button is pressed on the transmission selector, when the engine is switched off, when the driver’s safety-belt is released or when the driver door is opened. This increases the risk of accidents and injuries, although the Assisted Parking Brake (APB) remains functional and allows the vehicle to be immobilised. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 08/09/2025,,Passenger car.,France,Romania,Other risk levels,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10095968,
SR/03496/25,,,Motor vehicles,Passenger car,Bmw,"2series, iX2, X2, iX1, X1","e1*2018/858*00117*, e1*2018/858*00153*, e1*2018/858*00371*",18.06.2025 - 25.08.2025,,"0072800200, 0072790200, 0072780200",Injuries,"The seat belts of the car were not manufactured correctly. In the event of a collision or accident, the restraint function of the seat belts may be reduced and may not provide the necessary protection. As a result, there may be an increased risk of injury. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096136,
SR/03495/25,,,Motor vehicles,Passenger car,Mini,"Cooper, Countryman","e1*2018/858*00370*, e1*2018/858*00373*",18.06.2025 - 25.08.2025,,"0072830200, 0072820200, 0072810200",Injuries,"The seat belts of the car were not manufactured correctly. In the event of a collision or accident, the restraint function of the seat belts may be reduced and may not provide the necessary protection. As a result, there may be an increased risk of injury. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096137,
SR/03401/25,,,Motor vehicles,Passenger car,Hyundai,"i20, i20N, BAYON","e5*2007/46*0121*01, e5*2007/46*0121*00, e5*2007/46*0121*03",i20/BAYON: 01.04.2021 - 03.12.2022 // VIN: NLHBN51GAMZ053804 - NLHBR81HANZ251607 i20N: 01.06.2021 - 04.01.2023 // VIN: NLHBU51FANZ000227 -  NLHBU51FAPZ008503.,,51DT07,Injuries,"The impeller that vacuums the fuel and sends it to the engine comes into contact with the outer walls of the fuel pump due to the swelling/expansion caused by operating at high temperatures and by the fuel, which can cause the engine to lose power and the vehicle to stop, increasing the risk of injuries. The product does not comply with the Regulation on the approval and market surveillance of Motor Vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Portugal,Türkiye,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096118,
OR/00145/25,,,Motor vehicles,Passenger car,Renault,"SCENIC, MEGANE, MASTER IV, RAFALE, ESPACE VI, AUSTRAL, SYMBIOZ, DUSTER, CAPTUR II","AUSTRAL : e9*2018/858*30002*13 - e9*2018/858*30002*14 - e9*2018/858*30002*15 - e9*2018/858*30002*16 - e9*2018/858*30002*18, CAPTUR II : e2*2007/46*0684*25 - e2*2007/46*0684*26 - e2*2007/46*0684*27 - e2*2007/46*0684*28 - e2*2007/46*0684*29, DUSTER : e19*2018/858*00001*12 - e19*2018/858*00001*13 - e19*2018/858*00001*14, ESPACE VI : e9*2018/858*30002*13 - e9*2018/858*30002*14 - e9*2018/858*30002*15 - e9*2018/858*30002*16, MASTER IV : e2*2018/858*00074*02, MEGANE e-TECH : e2 *2018/858*00018*09 - e2*2018/858*00018*10 - e2*2018/858*00018*01, RAFALE : e2*2018/858*00018*12 - e2*2018/858*00018*13 - e2*2018/858*00018*14 - e2*2018/858*00018*15 - e2*2018/858*00018*16 , SCENIC E-Tech : e2*2018/858*00018*09 - e2*2018/858*00018*10 - e2*2018/858*00018*11, SYMBIOZ : e2*2007/46*0684*27 - e2*2007/46*0684*28 - e2*2007/46*0684*29 - e2*2007/46*0684*30",12/04/2024 - 07/05/2025,,0EY9,Injuries,"The position sensor of the parking brake actuator is at the wrong angle, causing the stopping pin to be incorrectly placed in the ‘P lock’ position and resulting in the parking brake not properly engaging when the P button is pressed on the transmission selector, when the engine is switched off, when the driver’s safety-belt is released or when the driver door is opened. This increases the risk of accidents and injuries, although the Assisted Parking Brake (APB) remains functional and allows the vehicle to be immobilised. The product does not comply with the Regulation on the approval and market surveillance of two- or three-wheel vehicles and quadricycles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 08/09/2025,,Passenger car.,France,France,Other risk levels,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10095876,
SR/03351/25,,,Motor vehicles,Passenger car,Audi,e-tron GT,e1*2018/858*00005* (FW),25.06.2024 - 31.03.2025,,40LF,Injuries,"A manufacturing defect in the air suspension system may lead to a drop in the vehicle's level on one side. This can cause limited functioning of the suspension strut and can affect the driving dynamics, increasing the risk of an accident.  The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10095962,
SR/03352/25,,,Motor vehicles,Passenger car,Mercedes-Benz,"C-KLASSE, EQE, GLC","e1*2018/858*00016*04-*09 (R2CW), e1*2018/858*00017*09-*14 (R2CS), e1*2018/858*00036*00-*11 (E2EQEW), e1*2018/858*00186*00-*14 (R2CGLC)",02.03.2022 - 23.07.2025,,4691007,Injuries,"A manufacturing defect in the steering coupling may lead to loosen mechanical connection between the steering wheel and the steering box, leading to a loss of steering and increasing the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10095995,
SR/03373/25,,,Motor vehicles,Passenger car,Peugeot,"3008 V3, 5008 V3","e2*2018/858*00064*08  , e2*2018/858*00064*09",23/6/2025 – 20/8/2025 // VIN: VR3KAHPY1RS173932 - VR3KAHPY0SS141186 5008 V323/6/2025 – 20/8/2025 // VIN: VR3KAHPY3RS173785 - VR3KAHPY7SS140942 3008 V3,,MYZ,Fire,"The connection for the auxiliary heating in the 48 V battery harness terminal may not be adequate. This issue could lead to the heating not functioning properly. In rare instances, there is a possibility of an electric arc and overheating, which might increase the risk of a fire in the vehicle. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 12/09/2025,,Passenger car.,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096016,
SR/03370/25,,,Motor vehicles,Passenger car,Volvo,,"e4*2007/46*1315, e9*2007/46*3146.",,,R10340,Injuries,"The torsion bar within the seatbelt system is defective. This could affect the seatbelt’s restraining performance and not provide adequate support in the event of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): DistributorCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,"Passenger car, Model (Type): V60 (225), V60 Cross Country (227), V90 Cross Country (236), S90L (238), XC60 (246), XC90 (256), XC40 (536), EX4 (536) and EC40 (539). Chassis: from 0679362 to 0681750 // from 0170825 to 0170997 // from 0206278 to 0206467 // from 0493633 to 0494337 // from 0330054 to 0",Portugal,Sweden,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096062,
